title,country,release_year,genre,description,Streaming Service
Ice Age: A Mammoth Christmas,United States,2011,"Animation, Comedy, Family",Sid the Sloth is on Santa's naughty list.,Disney
Becoming Cousteau,United States,2021,"Biographical, Documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,Disney
A Muppets Christmas: Letters To Santa,United States,2008,"Comedy, Family, Musical",Celebrate the holiday season with all your favorite Muppets.,Disney
The Pixar Story,United States,2007,"Documentary, Family",A groundbreaking company forever changes the face of filmmaking.,Disney
Enchanted,United States,2007,"Comedy, Family, Fantasy",An animated princess winds up in the real world of modern-day Manhattan.,Disney
Feast,United States,2014,"Animation, Comedy, Drama",One man's love life seen through the eyes of his dog.,Disney
Frozen Fever,United States,2015,"Animation, Family, Fantasy",Elsa wants to give Anna the best birthday party ever.,Disney
Get a Horse!,United States,2013,"Action-Adventure, Animation, Comedy",Mickey and friends hitch a ride on a musical hay wagon.,Disney
Home Sweet Home Alone,United States,2021,"Comedy, Family","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers.",Disney
Jungle Cruise,United States,2021,"Action-Adventure, Comedy, Family",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.,Disney
Paperman,United States,2012,"Animation, Comedy, Family",A young man strives to find girl of his dreams.,Disney
Shang-Chi and The Legend of The Ten Rings,"United States, Australia",2021,"Action-Adventure, Fantasy, Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization.",Disney
Tangled Ever After,United States,2012,"Animation, Family",It's up to Max and Pascal to save the royal wedding.,Disney
The Little Matchgirl,United States,2006,"Animation, Drama",A poor matchgirl sees happy images in the flames of her matches.,Disney
Tick Tock Tale,United States,2010,"Animation, Crime, Family",A tale of a quirky mantle clock.,Disney
Alvin and the Chipmunks: Chipwrecked,United States,2011,"Comedy, Family, Music",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.,Disney
Jingle All The Way,United States,1996,"Comedy, Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,Disney
Jingle All the Way 2,United States,2014,"Comedy, Family",Two dads compete to be the best father and make Christmas amazing!,Disney
Santa Buddies: The Legend of Santa Paws,"United States, Canada",2009,"Comedy, Fantasy, Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.",Disney
Snow Buddies,United States,2008,"Action-Adventure, Comedy, Kids",Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.,Disney
Space Buddies,"United States, Canada",2009,"Action-Adventure, Comedy, Kids","Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.",Disney
The Search for Santa Paws,Canada,2010,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.,Disney
X-Men: First Class,"United States, United Kingdom",2011,"Action-Adventure, Science Fiction, Superhero","Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga.",Disney
"McFarland, USA",United States,2015,"Drama, Sports",A coach guides underdogs past tremendous obstacles to become champions.,Disney
Rookie of the Year,United States,1993,"Comedy, Family, Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",Disney
Thumbelina,"Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary",1994,"Animation, Family, Fantasy",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,Disney
Black Widow,United States,2021,"Action-Adventure, Science Fiction, Spy/Espionage",Natasha confronts her history as a spy and the broken relationships left in her wake.,Disney
Fauci,United States,2021,"Biographical, Documentary","""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci.",Disney
Alvin and the Chipmunks,United States,2007,"Animation, Comedy, Family","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",Disney
Alvin and the Chipmunks: The Road Chip,United States,2015,"Comedy, Family, Music","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure.",Disney
Maleficent,"United States, United Kingdom",2014,"Action-Adventure, Family, Fantasy","Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora.",Disney
Spooky Buddies,"United States, Canada",2011,"Comedy, Fantasy, Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,Disney
The Fault in Our Stars,United States,2014,"Coming of Age, Drama, Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.,Disney
Confessions of a Shopaholic,United States,2009,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,Disney
Pirates of the Caribbean: On Stranger Tides,"United States, United Kingdom",2011,"Action-Adventure, Fantasy",A woman from his past uses Jack to help find the fabled Fountain of Youth.,Disney
Twenty Something,United States,2021,"Animation, Family","Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.",Disney
Happier Than Ever: A Love Letter to Los Angeles,United States,2021,"Concert Film, Music","Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles.""",Disney
X-Men: Dark Phoenix,"United States, Canada",2019,"Action-Adventure, Family, Science Fiction","When Jean Grey transforms into the Dark Phoenix, the X-Men unite to face their greatest enemy yet.",Disney
Cruella,"United States, United Kingdom",2021,"Crime, Drama","Witness the origin of Disney’s most notorious and notoriously fashionable villain, Cruella de Vil.",Disney
Dan in Real Life,United States,2007,"Comedy, Drama, Romance",A relationship expert falls in love with his brother's new girlfriend.,Disney
Marvel One-Shot: All Hail the King,United States,2014,"Comedy, Drama, Thriller","Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker.",Disney
Underdog,United States,2007,"Action-Adventure, Family, Parody",A super-powered beagle tries to save Capital City from a mad scientist.,Disney
Eragon,"United States, United Kingdom, Hungary",2006,"Action-Adventure, Family, Fantasy","In a mythical time, a teenage boy becomes a dragon rider and embarks on a journey of adventure.",Disney
Fantastic Four,"United States, Germany",2005,"Action-Adventure, Family, Science Fiction",Four astronauts develop superpowers and must join forces to protect mankind from doom.,Disney
X-Men,United States,2000,"Action-Adventure, Family, Science Fiction","The X-Men, a small band of outcast mutants, fight to save a world that hates and fears them.",Disney
Beverly Hills Chihuahua 2,United States,2011,"Action-Adventure, Comedy, Family","Papi and Chloe, those talking Chihuahuas, are back... with a few surprises.",Disney
Beverly Hills Chihuahua 3: Viva La Fiesta!,United States,2012,"Comedy, Coming of Age, Family","Papi plans a ""Quince"" for the littlest member of his pack.",Disney
Mrs. Doubtfire,United States,1993,"Comedy, Drama",An eccentric dad dresses as a British nanny so he can care for his kids at the home of their mother.,Disney
Garfield,United States,2004,"Comedy, Family","Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him.",Disney
Ice Age: The Meltdown,"United States, United Kingdom, Australia",2006,"Animation, Comedy, Family","Manny, Sid, Diego and Scrat join forces with new friends to save the valley from an epic flood.",Disney
We Bought a Zoo,United States,2011,"Animals & Nature, Drama, Family",A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.,Disney
Flicka,"United States, United Kingdom",2006,"Animals & Nature, Coming of Age, Drama",A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.,Disney
Shark Beach with Chris Hemsworth,United States,2021,"Animals & Nature, Documentary",Chris Hemsworth investigates how we can live harmoniously with sharks.,Disney
The Sandlot,United States,1993,"Comedy, Coming of Age, Family",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.,Disney
The Sandlot 2,United States,2005,"Comedy, Sports","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge.",Disney
Adventures in Babysitting,United States,1987,"Action-Adventure, Comedy, Coming of Age",A seemingly quiet night turns into a wild expedition for a teen babysitter.,Disney
Luca,United States,2021,"Animation, Buddy, Coming of Age","Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera.",Disney
Strange Magic,"United States, Canada, United Kingdom, Singapore, Australia, Thailand",2015,"Action-Adventure, Animation, Family",A tough fairy princess crosses paths with the sinister Bog King.,Disney
The Happiest Millionaire,United States,1967,"Biographical, Coming of Age, Family",An immigrant finds a butler position in the home of a millionaire.,Disney
The Pacifier,"Canada, United States",2005,"Action-Adventure, Comedy, Spy/Espionage",A Navy SEAL gets his toughest mission yet: Babysitting.,Disney
Raya and the Last Dragon,United States,2021,"Action-Adventure, Animation, Family","When evil threatens Kumandra, Raya must find the last dragon to save it.",Disney
Red Tails,United States,2012,"Action-Adventure, Drama, Historical",Black fighter pilots get the chance to prove themselves during WWII.,Disney
Tinker Bell and the Legend of the NeverBeast,United States,2014,"Action-Adventure, Animation, Fantasy",Tink and her friends risk everything to rescue the mysterious NeverBeast.,Disney
X-Men: The Last Stand,"United States, United Kingdom, Canada",2006,"Action-Adventure, Family, Science Fiction","When Professor X clashes with Magneto, the battle lines are drawn for the war to end all wars.",Disney
Fantastic Four: Rise of the Silver Surfer,"United States, Germany, United Kingdom",2007,"Action-Adventure, Family, Science Fiction","The Fantastic Four meet The Silver Surfer, who comes to Earth to prepare it for destruction.",Disney
Wild Hearts Can't Be Broken,United States,1991,"Biographical, Drama","A runaway is determined to become a death-defying horse ""diving girl.""",Disney
Oklahoma!,United States,1956,"Musical, Romance, Western",Two young cowboys vie with a ranch hand and peddler for the hearts of the women they love.,Disney
Baby's Day Out,United States,1994,"Action-Adventure, Comedy, Crime",Three bumbling kidnappers attempt to nab the baby of a rich couple.,Disney
Being the Queen,United States,2020,"Biographical, Documentary",Being the Queen tells the story of Queen Elizabeth II from those who know her best.,Disney
