title,country,release_year,genre,description,Streaming Service
Yashahime: Princess Half-Demon,Japan,2020,Anime,"Long-lost twins Towa and Setsuna reunite after ten years to discover that they are the half-demon daughters of the great demon Sesshomaru. Joined by Moroha, the daughter of Inuyasha, the three set out on a journey to regain their missing past.",hulu
Finding Your Feet,United Kingdom,2017,"Comedy, Drama, Romance","On the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate.",hulu
Dr. No,United Kingdom,1962,"Action, Adventure","On a mission in Jamaica, ultra-suave Agent 007 finds mad scientist Dr. No concocting a plot to derail the U.S. space program and take over the world.",hulu
Escape from Alcatraz,United States,1979,"Action, Crime, Drama",Based on true events! A hardened convict engineers an elaborate plan to escape infamous Alcatraz Prison - a feat nobody had successfully accomplished before. Directed by Don Siegel (Dirty Harry).,hulu
From Russia With Love,United Kingdom,1964,"Action, Adventure, Classics",Bond is back and he's paying the price for his previous adventure when SPECTRE lured him into a deadly trap to avenge the death of Dr. No. Will Bond's mission to find a Russian coding machine be his last?,hulu
GoldenEye,"United Kingdom, United States",1995,"Action, Adventure, Thriller","Bond is thrown right into the action before the title song with an eye-opening cliff dive onto a plane. Sporting his signature debonair attitude and pricey gadgets, Bond investigates the destruction of a Russian satellite base.",hulu
Goldfinger,United Kingdom,1965,"Action, Adventure, Classics","007 is pitted against Auric Goldfinger, who plots to render the gold supply at Fort Knox worthless with radioactivity, thereby increasing tenfold the value of his own gold supply to make him the richest, most powerful man on Earth.",hulu
License to Kill,"United Kingdom, Mexico, United States",1989,"Action, Adventure","This 16th James Bond outing finds Agent 007 defying his superiors and operating without his infamous “license to kill” when he takes revenge upon a Colombian drug kingpin, after the guy maims Bond’s best friend/former CIA agent and kills his new bride.",hulu
Lost In Space,United States,1998,"Action, Adventure, Science Fiction","A family of space colonists, their pilot and a diabolical stowaway scientist become hopelessly lost beyond the galaxy when their mission is sabotaged.",hulu
Maze,"Ireland, United Kingdom, Germany, Sweden",2017,"Action, Adventure, Crime","Based on the incredible true story of the 1983 mass break-out of 38 IRA prisoners from the HMP Maze high security prison, one prisoner engineers the largest European prison escape since World War II.",hulu
My Best Friend's Wedding,United States,1997,"Comedy, Romance","When a successful food critic learns that her former boyfriend/best friend is getting married, she stops at nothing to clench her own happiness. Stars Julia Roberts, Dermot Mulroney and Cameron Diaz.",hulu
Star Trek II: The Wrath of Khan,United States,1982,"Action, Adventure, Classics","Admiral James T. Kirk is still in charge of a space fleet, but from behind a desk. Dr. McCoy and Mr. Spock convince him to take on a mission which sounds simple, but with the mysterious Khan, things get a little tricky.",hulu
Star Trek III: The Search for Spock,United States,1984,"Action, Adventure, Family","Admiral Kirk's defeat of Khan and the creation of the Genesis planet are empty victories. Spock is dead and McCoy is inexplicably being driven insane. Then a visit from Sarek, Spock's father, provides a startling revelation.",hulu
Star Trek V: The Final Frontier,United States,1989,"Action, Adventure, Family","In this classic movie spin off from the TV series, Captain Kirk and his crew must deal with Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy. Stars William Shatner and Leonard Nimoy.",hulu
Star Trek VI: The Undiscovered Country,United States,1991,"Action, Adventure, Family",The crews of the Enterprise and the Excelsior must stop a plot to prevent a peace treaty between the Klingon Empire and the Federation.,hulu
Star Trek: Insurrection,United States,1998,"Action, Adventure, Family","When the crew of the Enterprise learn of the federation plot against the inhabitants of a unique planet, Capt. Picard begins an open rebellion.",hulu
Star Trek: The Motion Picture,United States,1979,"Action, Adventure, Family","This first Star Trek film reunites the U.S.S. Enterprise's original crew. Capt. James T. Kirk now an admiral, and his crew must save humanity from an alien ship steadily approaching Earth and destroying everything in its path.",hulu
